datetime_utc,lat,lon,pressure_hpa,max_wind_kt
2026-08-05 00:00,19.0,165.3,1000,30
2026-08-05 03:00,19.2,165.4,1000,30
2026-08-05 06:00,19.6,165.7,998,35
2026-08-05 09:00,21.2,166.3,996,35
2026-08-05 12:00,23.5,166.1,996,35
2026-08-05 15:00,23.3,165.7,996,35
2026-08-05 18:00,23.4,165.8,996,35
2026-08-05 21:00,24.0,165.3,996,35
2026-08-06 00:00,24.8,166.0,996,35
2026-08-06 03:00,25.5,165.4,994,40
2026-08-06 06:00,26.1,164.6,994,40
2026-08-06 09:00,26.7,163.8,994,40
2026-08-06 12:00,27.3,163.0,994,40
2026-08-06 15:00,27.7,162.2,994,40
2026-08-06 18:00,28.3,161.7,994,40
2026-08-06 21:00,29.1,161.4,994,40
2026-08-07 00:00,29.3,161.2,994,40
2026-08-07 03:00,29.4,160.4,994,40
2026-08-07 06:00,29.7,160.3,996,35
2026-08-07 09:00,30.0,160.2,996,35
2026-08-07 12:00,30.9,159.7,996,35
2026-08-07 15:00,31.5,159.1,996,35
2026-08-07 18:00,31.8,158.6,994,35
2026-08-07 21:00,31.8,157.7,994,35
2026-08-08 00:00,32.4,156.6,994,35
2026-08-08 03:00,32.8,155.8,994,35
2026-08-08 06:00,33.0,154.9,994,35
2026-08-08 09:00,33.0,154.3,994,35
2026-08-08 12:00,33.1,153.2,994,35
2026-08-08 15:00,32.8,152.2,994,35
2026-08-08 18:00,32.7,151.7,994,35
2026-08-08 21:00,32.5,151.4,994,35
2026-08-09 00:00,32.4,151.0,994,35
2026-08-09 03:00,32.3,150.9,992,40
2026-08-09 06:00,32.3,150.7,990,40
2026-08-09 09:00,32.2,150.7,990,40
2026-08-09 12:00,32.3,150.8,990,40
2026-08-09 15:00,32.8,150.6,990,40
2026-08-09 18:00,33.1,150.4,990,40
2026-08-09 21:00,33.3,150.5,990,40
2026-08-10 00:00,33.8,149.7,990,40
2026-08-10 03:00,34.1,149.3,990,40
2026-08-10 06:00,34.6,149.3,990,40
2026-08-10 09:00,35.1,148.4,990,40
2026-08-10 12:00,35.2,147.4,990,40
2026-08-10 15:00,36.2,146.8,985,45
2026-08-10 18:00,36.7,145.7,985,45
2026-08-10 21:00,37.1,145.0,985,45
2026-08-11 00:00,36.9,143.8,985,45
2026-08-11 03:00,36.6,142.7,985,45
